epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.181,2.30217,1.7919,2.05735,0.7146,0.47314,0.56306,0.27725,1.96997,1.47672,1.41577,0.00332943,0.00332943,0.00332943
2,295.582,2.00551,1.72481,1.85621,0.66427,0.51967,0.59177,0.28844,1.87952,1.42745,1.32712,0.00659681,0.00659681,0.00659681
3,429.532,1.90206,1.67738,1.74662,0.65433,0.50873,0.56335,0.26007,1.92934,1.66021,1.30713,0.00979818,0.00979818,0.00979818
4,566.986,1.86876,1.66023,1.68751,0.70278,0.51525,0.59662,0.29052,1.82198,1.40808,1.25595,0.009703,0.009703,0.009703
5,697.546,1.82826,1.61142,1.64438,0.62974,0.53924,0.59247,0.27904,1.87666,1.46557,1.25226,0.009604,0.009604,0.009604
6,832.239,1.80157,1.57228,1.60796,0.66698,0.52409,0.59924,0.27714,1.90349,1.32313,1.23518,0.009505,0.009505,0.009505
7,966.502,1.77588,1.54529,1.59955,0.68841,0.55379,0.62652,0.31032,1.78183,1.30476,1.21013,0.009406,0.009406,0.009406
8,1101.45,1.75771,1.50536,1.56563,0.70427,0.56698,0.64839,0.32163,1.76759,1.3056,1.18769,0.009307,0.009307,0.009307
9,1235.8,1.74157,1.47785,1.54289,0.68958,0.55548,0.62798,0.30397,1.85495,1.30608,1.20495,0.009208,0.009208,0.009208
10,1369.95,1.73016,1.46468,1.53743,0.69955,0.5767,0.64759,0.32113,1.76257,1.4042,1.17858,0.009109,0.009109,0.009109
11,1503.82,1.70867,1.42889,1.51509,0.71977,0.56521,0.65297,0.32269,1.7874,1.24326,1.17638,0.00901,0.00901,0.00901
12,1638.83,1.69498,1.41354,1.50138,0.71922,0.57357,0.65287,0.32617,1.77006,1.21049,1.1761,0.008911,0.008911,0.008911
13,1773.73,1.68767,1.39214,1.49546,0.69951,0.57683,0.64921,0.31721,1.79725,1.25408,1.16246,0.008812,0.008812,0.008812
14,1908.04,1.68043,1.39547,1.50059,0.6838,0.55618,0.62867,0.31003,1.83292,1.24952,1.17826,0.008713,0.008713,0.008713
15,2042.32,1.6732,1.37698,1.48638,0.71107,0.57482,0.64929,0.33006,1.75269,1.22771,1.15201,0.008614,0.008614,0.008614
16,2176.53,1.65668,1.3566,1.47196,0.71652,0.58543,0.66028,0.33497,1.74045,1.20267,1.15548,0.008515,0.008515,0.008515
17,2311.12,1.64617,1.32695,1.46256,0.73734,0.60721,0.68202,0.34368,1.71808,1.15104,1.1455,0.008416,0.008416,0.008416
18,2445.96,1.63242,1.32765,1.45964,0.73415,0.59461,0.67919,0.34759,1.71607,1.15275,1.13046,0.008317,0.008317,0.008317
19,2579.8,1.63523,1.31739,1.456,0.7347,0.60256,0.68188,0.34975,1.70997,1.14082,1.13323,0.008218,0.008218,0.008218
20,2714.49,1.61319,1.29954,1.43909,0.7336,0.61204,0.68808,0.35974,1.68688,1.12706,1.12442,0.008119,0.008119,0.008119
21,2852.15,1.61712,1.28927,1.44018,0.72607,0.58344,0.66685,0.34174,1.75096,1.16186,1.12951,0.00802,0.00802,0.00802
22,2987.76,1.61425,1.28604,1.43118,0.743,0.62003,0.69434,0.35988,1.66756,1.14927,1.11313,0.007921,0.007921,0.007921
23,3123.9,1.60944,1.27334,1.42775,0.73535,0.61203,0.69077,0.35757,1.68308,1.10318,1.11986,0.007822,0.007822,0.007822
24,3262.98,1.59304,1.26844,1.42936,0.74865,0.61958,0.70121,0.36529,1.67978,1.11088,1.11187,0.007723,0.007723,0.007723
25,3405.06,1.58971,1.25784,1.41443,0.75341,0.62202,0.70076,0.36689,1.66924,1.09384,1.11136,0.007624,0.007624,0.007624
26,3546.95,1.57821,1.24407,1.41623,0.75489,0.62434,0.70348,0.36793,1.648,1.08481,1.10101,0.007525,0.007525,0.007525
27,3684.29,1.57063,1.23105,1.40291,0.73622,0.63218,0.70347,0.37027,1.64624,1.08132,1.09864,0.007426,0.007426,0.007426
28,3821.92,1.57025,1.23103,1.39974,0.74981,0.61774,0.70467,0.37197,1.65521,1.07349,1.09801,0.007327,0.007327,0.007327
29,3959.39,1.56421,1.22926,1.40325,0.75588,0.62478,0.70668,0.37309,1.65046,1.07064,1.1036,0.007228,0.007228,0.007228
30,4096.63,1.5554,1.213,1.3927,0.75635,0.62956,0.7104,0.37692,1.63647,1.05933,1.09476,0.007129,0.007129,0.007129
31,4233.9,1.5522,1.19548,1.37799,0.76066,0.63915,0.71547,0.38043,1.62688,1.05374,1.08867,0.00703,0.00703,0.00703
32,4371.6,1.54375,1.19096,1.38163,0.76016,0.63672,0.71616,0.37807,1.63863,1.05968,1.09576,0.006931,0.006931,0.006931
33,4508.88,1.55079,1.18738,1.37872,0.76833,0.63888,0.71935,0.38125,1.62547,1.04043,1.08545,0.006832,0.006832,0.006832
34,4646.35,1.5389,1.18305,1.37998,0.75338,0.63948,0.71295,0.38178,1.62861,1.04537,1.08299,0.006733,0.006733,0.006733
35,4783.33,1.53395,1.17608,1.37157,0.75496,0.64324,0.71819,0.38347,1.63286,1.0354,1.08565,0.006634,0.006634,0.006634
36,4920.85,1.52183,1.15958,1.36558,0.76714,0.64511,0.72547,0.39076,1.61245,1.01312,1.08079,0.006535,0.006535,0.006535
37,5059.2,1.51864,1.14535,1.34754,0.76732,0.64931,0.72761,0.39029,1.62408,1.02129,1.07668,0.006436,0.006436,0.006436
38,5196.2,1.51818,1.1518,1.36019,0.76028,0.65757,0.7285,0.38949,1.61452,1.01737,1.07441,0.006337,0.006337,0.006337
39,5333.3,1.50718,1.13792,1.34765,0.76494,0.65781,0.73114,0.39212,1.6104,1.00638,1.07434,0.006238,0.006238,0.006238
40,5470.55,1.50063,1.13058,1.34765,0.78113,0.65042,0.73385,0.39661,1.60837,0.99932,1.07394,0.006139,0.006139,0.006139
41,5608.16,1.50065,1.13009,1.34643,0.77481,0.65816,0.73349,0.39433,1.61164,1.00707,1.07254,0.00604,0.00604,0.00604
42,5748.21,1.5016,1.11707,1.33716,0.77352,0.66004,0.73459,0.39598,1.60591,0.99989,1.07285,0.005941,0.005941,0.005941
43,5886.21,1.48135,1.11012,1.33387,0.77584,0.66324,0.73665,0.40019,1.58947,0.99072,1.06585,0.005842,0.005842,0.005842
44,6021.49,1.49243,1.11502,1.33618,0.79467,0.6492,0.73812,0.40095,1.59061,0.99711,1.06503,0.005743,0.005743,0.005743
45,6156.93,1.48752,1.10055,1.32892,0.78349,0.65631,0.73644,0.39932,1.58884,0.99264,1.06424,0.005644,0.005644,0.005644
46,6292.22,1.47568,1.09281,1.32388,0.78605,0.66313,0.74043,0.40208,1.59178,0.99172,1.06279,0.005545,0.005545,0.005545
47,6427.7,1.47587,1.09398,1.32668,0.7865,0.6607,0.73972,0.40311,1.58801,0.97919,1.06193,0.005446,0.005446,0.005446
48,6562.83,1.4619,1.07659,1.31727,0.79031,0.66313,0.7422,0.40515,1.58678,0.97639,1.06066,0.005347,0.005347,0.005347
49,6698.58,1.46502,1.08053,1.31593,0.78898,0.6657,0.74393,0.40597,1.58677,0.97451,1.06195,0.005248,0.005248,0.005248
50,6834.53,1.45844,1.07287,1.31099,0.79783,0.66341,0.74406,0.40475,1.58556,0.96934,1.06011,0.005149,0.005149,0.005149
51,6969.75,1.44879,1.06358,1.30929,0.79193,0.66927,0.74844,0.40749,1.58401,0.96612,1.05781,0.00505,0.00505,0.00505
52,7105.44,1.44281,1.05221,1.30359,0.79474,0.66667,0.7504,0.41031,1.57957,0.9628,1.05558,0.004951,0.004951,0.004951
53,7241.54,1.4342,1.04517,1.30033,0.79411,0.66236,0.74697,0.4096,1.57816,0.9626,1.05503,0.004852,0.004852,0.004852
54,7377.49,1.44052,1.05597,1.30294,0.79321,0.66479,0.74929,0.41084,1.57904,0.96023,1.05447,0.004753,0.004753,0.004753
55,7513.88,1.438,1.04683,1.2981,0.79479,0.66114,0.7475,0.41056,1.57798,0.96055,1.05424,0.004654,0.004654,0.004654
56,7650.13,1.43058,1.03157,1.29382,0.8014,0.6618,0.74844,0.41148,1.57317,0.9617,1.05342,0.004555,0.004555,0.004555
57,7786.43,1.42896,1.03889,1.29715,0.79852,0.66537,0.74837,0.41225,1.57234,0.95813,1.05219,0.004456,0.004456,0.004456
58,7923.43,1.41924,1.03123,1.29444,0.79665,0.66635,0.74965,0.41394,1.56975,0.9552,1.05147,0.004357,0.004357,0.004357
59,8060.26,1.41713,1.02467,1.28256,0.80031,0.66486,0.74935,0.41399,1.56888,0.95311,1.05057,0.004258,0.004258,0.004258
60,8197.07,1.41199,1.01632,1.28284,0.80222,0.66777,0.75123,0.41464,1.56691,0.95134,1.04951,0.004159,0.004159,0.004159
61,8333.23,1.40548,1.0097,1.2788,0.80317,0.66755,0.75252,0.41506,1.56464,0.94985,1.04868,0.00406,0.00406,0.00406
62,8470.25,1.40897,1.00966,1.28061,0.80791,0.66704,0.75315,0.41613,1.56224,0.94767,1.0472,0.003961,0.003961,0.003961
63,8609.65,1.39666,0.99799,1.27133,0.8089,0.66569,0.75312,0.41649,1.56345,0.94756,1.04663,0.003862,0.003862,0.003862
64,8746.65,1.39339,0.99689,1.26923,0.81368,0.6651,0.7556,0.41758,1.55966,0.94593,1.0447,0.003763,0.003763,0.003763
65,8883.88,1.39288,0.99275,1.27367,0.81089,0.6687,0.75666,0.41852,1.55736,0.94221,1.04294,0.003664,0.003664,0.003664
66,9020.88,1.3903,0.98937,1.26655,0.8086,0.67407,0.75738,0.41888,1.55587,0.94271,1.04211,0.003565,0.003565,0.003565
67,9157.48,1.38063,0.98131,1.26618,0.80796,0.67341,0.75738,0.41974,1.55422,0.94179,1.04125,0.003466,0.003466,0.003466
68,9294.41,1.37582,0.97533,1.2573,0.80838,0.67507,0.758,0.41989,1.55468,0.94129,1.04082,0.003367,0.003367,0.003367
69,9431.27,1.37503,0.9735,1.25651,0.81046,0.67418,0.75778,0.42013,1.55568,0.9404,1.04066,0.003268,0.003268,0.003268
70,9567.64,1.36968,0.97023,1.25975,0.81005,0.67352,0.75812,0.42061,1.5533,0.93707,1.03956,0.003169,0.003169,0.003169
71,9702.97,1.36247,0.96392,1.25047,0.81069,0.67396,0.75848,0.42098,1.55122,0.93518,1.03841,0.00307,0.00307,0.00307
72,9837.8,1.35467,0.95214,1.24831,0.81115,0.67407,0.75913,0.42147,1.54913,0.93278,1.03768,0.002971,0.002971,0.002971
73,9971.49,1.35581,0.95441,1.24606,0.81091,0.67445,0.75873,0.42232,1.54803,0.93099,1.03712,0.002872,0.002872,0.002872
74,10104.8,1.35429,0.94527,1.24395,0.80743,0.67565,0.75896,0.4229,1.54702,0.93076,1.03703,0.002773,0.002773,0.002773
75,10238.4,1.35171,0.94667,1.24179,0.81044,0.67363,0.75908,0.42315,1.54616,0.92964,1.03678,0.002674,0.002674,0.002674
76,10371.8,1.33548,0.93493,1.23545,0.81079,0.67489,0.75949,0.42388,1.54437,0.92861,1.03625,0.002575,0.002575,0.002575
77,10506.1,1.34094,0.9355,1.23595,0.80947,0.67739,0.7602,0.42439,1.5439,0.9278,1.03577,0.002476,0.002476,0.002476
78,10639.8,1.33854,0.93116,1.2357,0.81046,0.67672,0.76028,0.4248,1.54263,0.92661,1.0354,0.002377,0.002377,0.002377
79,10773.5,1.32728,0.92404,1.22756,0.81021,0.67706,0.76079,0.42532,1.54202,0.92472,1.03496,0.002278,0.002278,0.002278
80,10907,1.32042,0.92124,1.22678,0.81176,0.67728,0.76162,0.42568,1.54165,0.92421,1.0346,0.002179,0.002179,0.002179
81,11041.2,1.32022,0.91439,1.22423,0.81185,0.67816,0.76141,0.42606,1.54112,0.92308,1.03438,0.00208,0.00208,0.00208
82,11175.5,1.3129,0.91111,1.22248,0.81276,0.67838,0.76173,0.42624,1.54088,0.92412,1.03417,0.001981,0.001981,0.001981
83,11309.9,1.3168,0.90821,1.2223,0.81092,0.67927,0.76168,0.42628,1.53999,0.92242,1.03389,0.001882,0.001882,0.001882
84,11444.2,1.31392,0.90346,1.22232,0.81101,0.68015,0.7622,0.42687,1.53902,0.92219,1.03331,0.001783,0.001783,0.001783
85,11578.9,1.30392,0.89162,1.2099,0.81074,0.68081,0.76247,0.42676,1.53804,0.92092,1.03291,0.001684,0.001684,0.001684
86,11713,1.3018,0.89297,1.21544,0.8104,0.68148,0.76272,0.42716,1.53709,0.91955,1.03247,0.001585,0.001585,0.001585
87,11846.5,1.2885,0.88354,1.21244,0.81006,0.68225,0.76337,0.42759,1.53684,0.91826,1.03206,0.001486,0.001486,0.001486
88,11980.8,1.28591,0.88148,1.20667,0.81038,0.68208,0.76329,0.42784,1.53613,0.91738,1.03161,0.001387,0.001387,0.001387
89,12115.3,1.28313,0.87817,1.20259,0.80917,0.68225,0.76332,0.42775,1.53615,0.91724,1.03146,0.001288,0.001288,0.001288
90,12249.7,1.28025,0.87501,1.19707,0.80903,0.68214,0.76344,0.42794,1.53517,0.91667,1.03109,0.001189,0.001189,0.001189
91,12412.1,1.28765,0.79833,1.16249,0.81037,0.68137,0.76367,0.42805,1.53509,0.91604,1.03097,0.00109,0.00109,0.00109
92,12544.2,1.26261,0.77838,1.15519,0.81002,0.6817,0.76364,0.42837,1.53591,0.91522,1.03058,0.000991,0.000991,0.000991
93,12676.9,1.25757,0.77328,1.15291,0.81239,0.68104,0.76376,0.42861,1.5356,0.915,1.03046,0.000892,0.000892,0.000892
94,12809.8,1.25115,0.76553,1.14534,0.81018,0.68148,0.76416,0.42893,1.53529,0.9133,1.03022,0.000793,0.000793,0.000793
95,12942.6,1.24105,0.75951,1.14357,0.81154,0.68104,0.76371,0.42917,1.53448,0.9134,1.02992,0.000694,0.000694,0.000694
96,13076.2,1.23325,0.75338,1.1383,0.8101,0.68177,0.76393,0.42948,1.53362,0.91342,1.02976,0.000595,0.000595,0.000595
97,13208.9,1.22799,0.75335,1.13655,0.81244,0.68126,0.7645,0.42968,1.53327,0.91294,1.02963,0.000496,0.000496,0.000496
98,13341.9,1.22232,0.74763,1.13322,0.81273,0.68159,0.76483,0.43026,1.53195,0.9115,1.0292,0.000397,0.000397,0.000397
99,13475,1.21583,0.73746,1.12652,0.81526,0.68137,0.76541,0.43066,1.53233,0.91131,1.02903,0.000298,0.000298,0.000298
100,13607.9,1.21186,0.73889,1.12799,0.82087,0.6775,0.76559,0.43089,1.53171,0.91043,1.02887,0.000199,0.000199,0.000199
