epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.667,2.41199,3.17656,1.08196,0.35268,0.28794,0.23653,0.08156,2.66988,2.51693,1.0779,0.00332222,0.00332222,0.00332222
2,295.675,2.35921,1.9882,1.04543,0.46034,0.3531,0.33916,0.13615,2.32052,2.67916,1.03969,0.00663359,0.00663359,0.00663359
3,429.389,2.44976,1.864,1.07046,0.23393,0.23099,0.13929,0.04159,2.81907,5.15166,1.14128,0.00992296,0.00992296,0.00992296
4,564.972,2.58498,1.98048,1.10916,0.32074,0.26884,0.20498,0.0735,2.75147,2.95801,1.11175,0.009901,0.009901,0.009901
5,675.94,2.49578,1.84723,1.08008,0.39188,0.31759,0.2708,0.10178,2.45937,9.70255,1.07479,0.009868,0.009868,0.009868
6,778.489,2.39221,1.72229,1.06116,0.48124,0.36248,0.3595,0.14739,2.32026,1.77597,1.04109,0.009835,0.009835,0.009835
7,1009.97,2.34326,1.67929,1.04855,0.47595,0.37487,0.37699,0.16188,2.2452,1.76576,1.02542,0.009802,0.009802,0.009802
8,1156.55,2.29039,1.60897,1.03887,0.52107,0.39146,0.39745,0.1719,2.23356,1.84678,1.02255,0.009769,0.009769,0.009769
9,1296.17,2.26564,1.58728,1.03622,0.45805,0.36013,0.34454,0.13657,2.51887,2.25916,1.05995,0.009736,0.009736,0.009736
10,1416.95,2.22878,1.54267,1.02756,0.535,0.40787,0.42604,0.18759,2.23917,1.70968,1.02272,0.009703,0.009703,0.009703
11,1508.99,2.21645,1.5276,1.02225,0.5442,0.39677,0.43063,0.19141,2.19837,1.61847,1.00809,0.00967,0.00967,0.00967
12,1598.72,2.19596,1.50932,1.0197,0.57331,0.45695,0.48275,0.21912,2.13318,1.53414,1.00074,0.009637,0.009637,0.009637
13,1687.51,2.13081,1.44509,1.00799,0.59,0.45561,0.48427,0.2231,2.09987,1.57095,0.99619,0.009604,0.009604,0.009604
14,1851.76,2.14712,1.46265,1.01057,0.59398,0.4798,0.50526,0.23324,2.05525,1.80055,0.98714,0.009571,0.009571,0.009571
15,1980.97,2.13121,1.42397,1.00709,0.56399,0.45812,0.47545,0.21491,2.12372,1.65852,1.00286,0.009538,0.009538,0.009538
16,2074.42,2.11399,1.40212,1.00379,0.60091,0.44858,0.48761,0.22698,2.10512,1.4345,0.98327,0.009505,0.009505,0.009505
17,2163.63,2.0946,1.38933,0.99585,0.5977,0.44992,0.48869,0.22151,2.12349,1.54573,0.9912,0.009472,0.009472,0.009472
